frame,time_t,gap_eV,rmsd_A
0,0.0,0.2735356605844572,0.051944778350715676
1,0.020833333333333332,0.26401116354827536,0.05145833279945165
2,0.041666666666666664,0.25684598263615044,0.051057515157995684
3,0.0625,0.24763300921040354,0.050764840004279124
4,0.08333333333333333,0.2360252136240888,0.05054157435214308
5,0.10416666666666667,0.22305566733484739,0.05035780421724426
6,0.125,0.20938005195421283,0.05019111971524694
7,0.14583333333333334,0.19542446049308637,0.050028120854218296
8,0.16666666666666666,0.18132846664229874,0.04986067699427617
9,0.1875,0.16713130678544985,0.04968489565998661
10,0.20833333333333334,0.1528657670278335,0.049499183239126
11,0.22916666666666666,0.13859479027814814,0.049303548141787334
12,0.25,0.12439895798888756,0.04909815034483981
13,0.2708333333333333,0.11039063081261702,0.04888352732950414
14,0.2916666666666667,0.09665861541725462,0.04866137472926151
15,0.3125,0.08331352965979022,0.04843362690514195
16,0.3333333333333333,0.07050573125889059,0.04820245751335818
17,0.3541666666666667,0.058475635763898026,0.047970597246711405
18,0.375,0.04745767344138585,0.047740007951208245
19,0.3958333333333333,0.03691610383975785,0.047494102265029724
20,0.4166666666666667,0.03516712826603907,0.047233995927150205
21,0.4375,0.04708887432934716,0.04697114055885015
22,0.4583333333333333,0.06743239812931279,0.04670524625341327
23,0.4791666666666667,0.0912649457968655,0.04644207450880563
24,0.5,0.11667349089111667,0.04618607149648267
25,0.5208333333333334,0.14288393586684833,0.045940510495887696
26,0.5416666666666666,0.1690869404555997,0.04571161618245651
27,0.5625,0.1959758877637796,0.045493360711721255
28,0.5833333333333334,0.22299674741225317,0.045291410087665206
29,0.6041666666666666,0.25006932207543286,0.0451072967160262
30,0.625,0.2771295480488334,0.0449424994165519
31,0.6458333333333334,0.30412257339412463,0.04479842652531257
32,0.6666666666666666,0.33101223867197405,0.044676295322157215
33,0.6875,0.35776036392417154,0.04457727858220757
34,0.7083333333333334,0.38432743090743315,0.04450262564301313
35,0.7291666666666666,0.4106720454983588,0.044453417778596335
36,0.75,0.4367543375483365,0.044430477094955276
37,0.7708333333333334,0.4625445505371317,0.0444342825339119
38,0.7916666666666666,0.4880183681816561,0.04446501850146847
39,0.8125,0.5131479872470663,0.04452271630789844
40,0.8333333333333334,0.5379224455355143,0.04460725943882318
41,0.8541666666666666,0.5623282250599004,0.04471821714532176
42,0.875,0.5863531139730185,0.0448549073838815
43,0.8958333333333334,0.6099856992441346,0.04501643860181864
44,0.9166666666666666,0.6332243082542846,0.04520181828635366
45,0.9375,0.6560625135425653,0.04540982414701154
46,0.9583333333333334,0.6784993438814126,0.04563916946697306
47,0.9791666666666666,0.7005321412980265,0.045888493310237116
48,1.0,0.7221648449776694,0.046156380633272924
