frame,time_t,gap_eV,rmsd_A
0,0.0,0.037842666533833835,0.35688071611301303
1,0.020833333333333332,0.06177162294261507,0.3575087687375846
2,0.041666666666666664,0.07050626467753318,0.35777195649056737
3,0.0625,0.0709184935731173,0.35794922562864173
4,0.08333333333333333,0.06756085213419283,0.35813479666032133
5,0.10416666666666667,0.06264733488569618,0.3583613128629727
6,0.125,0.0571030902901839,0.3586357522730486
7,0.14583333333333334,0.05141095122235129,0.35895473608882156
8,0.16666666666666666,0.04580246785553754,0.3593109342519199
9,0.1875,0.04038974533978035,0.35969537033003546
10,0.20833333333333334,0.03528256485515158,0.3600989576996356
11,0.22916666666666666,0.03064221571185044,0.3605134255641082
12,0.25,0.02407667907391442,0.36088224667924895
13,0.2708333333333333,0.027122591476654634,0.3612595188649351
14,0.2916666666666667,0.03701166007522261,0.36162969964432706
15,0.3125,0.05141271167303785,0.361987032476117
16,0.3333333333333333,0.06787498163612327,0.3623369595252161
17,0.3541666666666667,0.08530800789230852,0.3626794499912518
18,0.375,0.10322036386060063,0.36301443306127085
19,0.3958333333333333,0.12135657104954589,0.3633414430791055
20,0.4166666666666667,0.13956179347223951,0.36365978853996606
21,0.4375,0.15773610015457962,0.36396862488548093
22,0.4583333333333333,0.17581763934140326,0.36426698196120433
23,0.4791666666666667,0.19376705839749775,0.3645538407499584
24,0.5,0.21155662770979689,0.3648282425848841
25,0.5208333333333334,0.2291647838865174,0.36508939901248477
26,0.5416666666666666,0.24628878425937728,0.3653330081755892
27,0.5625,0.2634814622797421,0.36556679245966933
28,0.5833333333333334,0.2804290128769935,0.3657868460469576
29,0.6041666666666666,0.2971077917100047,0.365993656305561
30,0.625,0.3134993987514463,0.36618797947850784
31,0.6458333333333334,0.32959046178439166,0.3663707642684129
32,0.6666666666666666,0.34537074409308843,0.3665431077590363
33,0.6875,0.3608294755395036,0.36670627531052324
34,0.7083333333333334,0.37596036939066835,0.3668616531096381
35,0.7291666666666666,0.3907565314366366,0.3670106500414794
36,0.75,0.4052087044765358,0.36715467091777104
37,0.7708333333333334,0.41930686550040264,0.3672950797579672
38,0.7916666666666666,0.4330432834358362,0.36743322146282
39,0.8125,0.4464109431937686,0.36757048692931055
40,0.8333333333333334,0.4594093314553902,0.3677081931399108
41,0.8541666666666666,0.47203719113531406,0.36784760854396176
42,0.875,0.4842965926436591,0.36798993067167324
43,0.8958333333333334,0.4961937936277536,0.36813627273978966
44,0.9166666666666666,0.5077338642477116,0.3682876314455851
45,0.9375,0.5189180455672613,0.36844490172882266
46,0.9583333333333334,0.5297740909518325,0.3686088960859377
47,0.9791666666666666,0.5403223234061443,0.36878034488830513
48,1.0,0.550585096461873,0.368959876631864
