frame,time_t,gap_eV,rmsd_A
0,0.0,0.012464653147617355,0.5288624740396632
1,0.020833333333333332,0.01587647980886686,0.5290724723814081
2,0.041666666666666664,0.02448698268199223,0.5293255591824193
3,0.0625,0.03530899132238119,0.5295208266045697
4,0.08333333333333333,0.04674968496328802,0.5296708473771292
5,0.10416666666666667,0.05748521036184684,0.5297886867355592
6,0.125,0.06724439750905731,0.5298853848011135
7,0.14583333333333334,0.07616641727508977,0.5299693554500758
8,0.16666666666666666,0.08439789193835168,0.5300439381883394
9,0.1875,0.09208233292338264,0.530110524842775
10,0.20833333333333334,0.09935774945006415,0.5301698056739724
11,0.22916666666666666,0.10636347567742632,0.5302223866735494
12,0.25,0.1132412600927637,0.5302692493978637
13,0.2708333333333333,0.12013664346159203,0.5303117469423466
14,0.2916666666666667,0.12717511441405804,0.5303514672182937
15,0.3125,0.13444230744062224,0.5303898152724726
16,0.3333333333333333,0.14200600004369335,0.5304271298911606
17,0.3541666666666667,0.14987102307350142,0.5304637515440312
18,0.375,0.1579815810873697,0.5305001966273102
19,0.3958333333333333,0.16627836367297277,0.5305371373094845
20,0.4166666666666667,0.174705347742929,0.5305753260397503
21,0.4375,0.18322226769851113,0.5306155344215976
22,0.4583333333333333,0.1918072793432657,0.5306583757271064
23,0.4791666666666667,0.20045683716125495,0.530704156119375
24,0.5,0.20919518425216665,0.5307530543878655
25,0.5208333333333334,0.21806436507540639,0.5308048662784408
26,0.5416666666666666,0.22694833665082115,0.5308578961820837
27,0.5625,0.23618375485602883,0.5309132216855611
28,0.5833333333333334,0.24566408541613782,0.5309692566399515
29,0.6041666666666666,0.2554226973134064,0.5310255836303621
30,0.625,0.26546850195882143,0.531082122224443
31,0.6458333333333334,0.2757617753559316,0.5311391576784392
32,0.6666666666666666,0.28621902463964943,0.5311973086082388
33,0.6875,0.29672517265498755,0.5312574367301334
34,0.7083333333333334,0.30715887198493874,0.5313204831639061
35,0.7291666666666666,0.3174095891226898,0.5313874339286349
36,0.75,0.3273918339400552,0.5314592862037194
37,0.7708333333333334,0.3370508529806102,0.5315370544568468
38,0.7916666666666666,0.34635758302829345,0.5316217561831893
39,0.8125,0.35529226810103864,0.5317144328004694
40,0.8333333333333334,0.3638482821552316,0.5318160000615343
41,0.8541666666666666,0.37202656812041823,0.5319274774550453
42,0.875,0.37983965234707284,0.5320499849869164
43,0.8958333333333334,0.38731350617126736,0.5321847698715724
44,0.9166666666666666,0.3945010347542848,0.5323331490853609
45,0.9375,0.40146324900342734,0.5324965150061626
46,0.9583333333333334,0.40826588349227677,0.532676257075208
47,0.9791666666666666,0.4149696712320292,0.5328737716858004
48,1.0,0.421634315236588,0.5330902799840248
